word,occurrences,category
uber,12502,Transportation
food,8154,Food
good,2398,Other
dinner,2379,Food
:),2045,Other
love,2007,Sex
thanks,1999,Other
lyft,1912,Transportation
thank,1802,Other
stuff,1758,Other
night,1695,Drinks
ticket,1674,Events
dues,1630,Drinks
fun,1435,Events
pizza,1373,Food
lol,1363,Other
money,1351,Other
❤️,1307,Sex
back,1246,Other
tickets,1203,Events
kong,1168,Food
last,1166,Other
formal,1154,Events
time,1145,Other
get,1092,Other
one,1062,Other
bus,1060,Transportation
know,1047,Other
life,1013,Other
best,986,Other
thai,977,Food
din,968,Food
boba,965,Food
tip,956,Food
just,946,Other
day,939,Other
lunch,933,Food
tix,904,Events
sorry,898,Other
friendship,888,Other
ice,866,Drinks
gas,863,Transportation
poker,850,Other
groceries,846,Food
like,793,Other
happy,778,Drugs
go,766,Other
drinks,765,Drinks
vroom,749,Transportation
rent,741,Other
water,733,Drinks
shirt,731,Other
;),720,Sex
border,717,Food
hot,713,Sex
fee,695,Other
bday,692,Events
much,676,Other
party,665,Events
pay,647,Other
house,646,Other
☕️,641,Food
part,639,Other
yum,638,Food
thx,636,Other
car,629,Transportation
za,627,Food
brunch,618,Food
ubers,618,Transportation
big,613,Other
new,605,Other
trip,600,Transportation
chicken,594,Food
birthday,591,Events
venmo,590,Other
shit,586,Other
cash,585,Other
harvard,584,Other
cream,575,Food
fuck,573,Sex
extra,561,Other
ya,550,Other
kale,550,Food
got,549,Other
coffee,548,Drinks
deposit,547,Other
movie,527,Events
sushi,526,Food
salad,521,Food
gift,520,Other
friend,516,Other
tea,510,Drinks
things,510,Other
lit,510,Drinks
da,505,Other
tax,502,Other
dim,490,Food
pho,489,Food
sum,487,Food
sex,478,Sex
late,477,Other